Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,100uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C20, C21, C22, C23, C24, C27, C30, C33, C9",0603,17,100nF,
"C18, C19, C25, C26, C28, C29, C31, C32",0603,8,10uF,
C3,1206,1,10nF,
C4,1206,1,100nF,
"C5, C6",0603,2,15pF,
"C7, C8",0603,2,1uf,
D1,D_SOD-323_HandSoldering,1,1N5892WS,
"D2, D5, D7, D9",1206,4,R LED,
"D3, D4, D6, D8",1206,4,G LED,
"J1, J2, J3, J4",TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,4,Battery Input,
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
L1,L_APV_ANR6045,1,100uH,
Q10,SOT-23-6,1,DMG9926UDM,
"Q7, Q8, Q9",SOT-23-6_Handsoldering,3,DMG9926UDM,
"R1, R2, R3, R4, R5, R6, R7, R9",1206,8,10k,
"R10, R28, R30, R32, R36",0805,5,10K,
"R11, R12",0603,2,27,
"R13, R40, R47, R54",0805,4,0.5,
"R14, R15, R16, R26, R34, R38, R39, R44, R45, R46, R51, R52, R53",0805,13,1k,
"R17, R48, R55",0805,3,1.2k,
"R18, R42, R49, R56",0805,4,100,
"R19, R43, R50, R57",0805,4,2k,
"R20, R21, R22, R23",0805,4,100k,
"R29, R31, R35, R37",0805,4,20k,
R33,1206,1,220,
R41,1206,1,1.2k,
R8,1206,1,1K,
SW1,SW_SPST_PTS645Sx43SMTR92,1,RESET,
SW2,SW_SPST_PTS645Sx43SMTR92,1,BOOT_LOADER,
"U1, U7, U9",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,3,TP4056,
"U10, U12, U6, U8",SOT-23-6,4,DW01A,
U11,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U2,PinHeader_1x08_P2.54mm_Vertical,1,Nokia_5110_LCD,
U3,TO-263-5_TabPin3,1,LM2576T-3.3,
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,Crystal,
